resource_id,network,station,channel,location,phase_time,oneset,polarity,evaluation_mode,evaluation_status,phase_type,azimuth,distance,takeoff_angle,time_residual,time_weight,time_correction
quakeml:nc.anss.org/Arrival/NC/109311999,NC,KCT,HHZ,,2019-06-23T03:53:07.970,impulsive,negative,manual,reviewed,P,352.0,0.2038,97.0,-0.08,0.19,0.18
quakeml:nc.anss.org/Arrival/NC/109312004,NP,1584,HNZ,10,2019-06-23T03:53:08.290,impulsive,negative,manual,reviewed,P,1.1,0.2239,94.0,0.02,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109312009,NP,1584,HNN,10,2019-06-23T03:53:12.660,impulsive,undecidable,manual,reviewed,S,1.1,0.2239,94.0,0.19,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109312014,CE,89462,HNZ,,2019-06-23T03:53:09.330,impulsive,positive,manual,reviewed,P,33.4,0.2757,89.0,0.03,0.19,0.0
quakeml:nc.anss.org/Arrival/NC/109312019,CE,89462,HNN,,2019-06-23T03:53:14.700,impulsive,undecidable,manual,reviewed,S,33.4,0.2757,89.0,0.4,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109312024,PB,B045,EHZ,,2019-06-23T03:53:09.190,impulsive,positive,manual,reviewed,P,54.8,0.2833,87.0,-0.17,0.19,-0.07
quakeml:nc.anss.org/Arrival/NC/109312029,PB,B045,EH1,,2019-06-23T03:53:14.020,impulsive,undecidable,manual,reviewed,S,54.8,0.2833,87.0,-0.39,0.1,-0.12
quakeml:nc.anss.org/Arrival/NC/109312034,NP,1023,HNZ,10,2019-06-23T03:53:10.170,impulsive,negative,manual,reviewed,P,5.3,0.3036,84.0,0.33,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109312039,NP,1023,HNE,10,2019-06-23T03:53:16.610,emergent,undecidable,manual,reviewed,S,5.3,0.3036,84.0,1.35,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312044,PB,B933,EHZ,,2019-06-23T03:53:10.060,impulsive,negative,manual,reviewed,P,130.0,0.3316,83.0,0.07,0.19,-0.04
quakeml:nc.anss.org/Arrival/NC/109312049,PB,B933,EH1,,2019-06-23T03:53:15.350,impulsive,undecidable,manual,reviewed,S,130.0,0.3316,83.0,-0.18,0.1,-0.07
quakeml:nc.anss.org/Arrival/NC/109312054,CE,89255,HNZ,,2019-06-23T03:53:10.950,impulsive,positive,manual,reviewed,P,20.1,0.3394,81.0,0.36,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109312059,BK,BRIC,HHZ,00,2019-06-23T03:53:10.840,impulsive,negative,manual,reviewed,P,117.5,0.3488,80.0,0.11,0.19,0.0
quakeml:nc.anss.org/Arrival/NC/109312064,BK,BRIC,HNN,00,2019-06-23T03:53:16.890,impulsive,undecidable,manual,reviewed,S,117.5,0.3488,80.0,0.04,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109312069,PB,B049,EHZ,,2019-06-23T03:53:11.030,impulsive,positive,manual,reviewed,P,95.5,0.3696,79.0,-0.04,0.1,-0.06
quakeml:nc.anss.org/Arrival/NC/109312074,PB,B049,EH1,,2019-06-23T03:53:17.220,emergent,undecidable,manual,reviewed,S,95.5,0.3696,79.0,-0.23,0.04,-0.11
quakeml:nc.anss.org/Arrival/NC/109312079,NP,1586,HNZ,10,2019-06-23T03:53:11.880,impulsive,negative,manual,reviewed,P,9.3,0.3752,78.0,0.64,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312084,NP,1586,HNN,10,2019-06-23T03:53:19.340,impulsive,undecidable,manual,reviewed,S,9.3,0.3752,78.0,1.59,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312089,NC,KCR,EHZ,02,2019-06-23T03:53:11.720,impulsive,positive,manual,reviewed,P,67.1,0.3972,76.0,-0.02,0.19,0.07
quakeml:nc.anss.org/Arrival/NC/109312094,NP,1591,HNZ,10,2019-06-23T03:53:12.410,impulsive,negative,manual,reviewed,P,113.2,0.4253,74.0,0.2,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109312099,NP,1591,HNN,10,2019-06-23T03:53:19.810,emergent,undecidable,manual,reviewed,S,113.2,0.4253,74.0,0.33,0.04,0.0
quakeml:nc.anss.org/Arrival/NC/109312104,NP,1582,HNZ,10,2019-06-23T03:53:12.800,impulsive,negative,manual,reviewed,P,11.0,0.4316,74.0,0.47,0.08,0.0
quakeml:nc.anss.org/Arrival/NC/109312109,NC,KMR,HHZ,,2019-06-23T03:53:12.910,impulsive,positive,manual,reviewed,P,98.8,0.4585,72.0,-0.11,0.19,0.18
